movie,year,https://moviesbot.imgblue.com/xmlrpc.php,https://rockers.imgblue.com/xmlrpc.php,https://tamil.imgblue.com/xmlrpc.php
About Ray,2015,False,False,False
About Ray,2016,False,True,True
Almost Christmas,2016,False,True,True
Billionaire Ransom,2016,True,True,True
Boo! A Madea Halloween,2016,False,True,True
Closet Monster,2015,True,False,False
Closet Monster,2016,False,True,True
Come And Find Me,2016,False,True,True
Fast & Furious Presents: Hobbs & Shaw,2019,False,False,True
Game of thrones Season 2 Episode 5,1980,True,False,True
Game of thrones Season 3 Episode 7,1977,False,False,False
Game of thrones Season 5 Episode 8,1915,False,True,False
Gernika,2016,False,True,True
Halk,2025,False,True,False
Howard Lovecraft & The Frozen Kingdom,2016,False,True,True
Jack Reacher Never Go Back,2016,False,True,True
Justice League Dark,2017,False,True,True
Los Jefes,2015,False,True,True
Maigret's Dead Man,2016,False,True,True
Masterminds,2016,False,True,True
Operation Avalanche,2016,False,True,True
Queen Of Katwe,2016,False,True,True
The Girl With All The Gifts,2016,False,True,True
The Hollow Point,2016,False,True,True
The Lion King,2019,False,False,False
The Monster,2016,False,True,True
Trolls,2016,False,True,False
